Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,HHK,BHK,HAK,Žaṙangut’yun,AJD,OEK,TD,YeLQ,AD,ORO,HKK,IKD,LH,ST,HK,AŽB,HD,PUD,HDK,HQDŠ,Other
Breavis,International Republican Institute,2023-01-23,2023-03-04,Not Available,1513,Provided,38%,1%,3%,8%,3%,Not Available,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55%,Not Available,Not Available,3%,3%,11%,Not Available,5%,3%,Not Available
Gallup,,2021-06-11,2021-06-18,Not Available,Not Available,Not Available,88%,0.1%,Not Available,6.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28.6%,5.9%,Not Available,3.0%,0.8%,32.6%,12.3%,Not Available,Not Available,Not Available
Armenian Election Study,,2021-05-31,2021-06-16,Not Available,800,Provided,46%,1%,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52%,Not Available,Not Available,4%,4%,26%,2%,Not Available,Not Available,Not Available
Gallup,,2021-06-06,2021-06-10,Not Available,1103,Provided,72.6%,0.1%,Not Available,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.8%,4.3%,Not Available,3.2%,1.1%,33.2%,10.2%,Not Available,Not Available,Not Available
Gallup,,2021-05-31,2021-06-04,Not Available,1100,Provided,62.4%,0.1%,Not Available,6.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.9%,4.6%,Not Available,3.4%,2.4%,33.0%,6.2%,Not Available,Not Available,Not Available
Gallup,,2021-05-25,2021-05-28,Not Available,1102,Provided,58.8%,0.1%,Not Available,6.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38.9%,3.9%,Not Available,4.8%,2.9%,29.8%,4.6%,Not Available,Not Available,Not Available
Gallup,,2021-05-18,2021-05-21,Not Available,Not Available,Not Available,Not Available,0.1%,Not Available,4.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24.8%,2.0%,Not Available,2.5%,1%,14.3%,3.1%,Not Available,Not Available,Not Available
Caucasus Research Resource Center,International Republican Institute,2021-04-08,2021-05-04,Not Available,1502,Provided,31%,1%,3%,3%,Not Available,Not Available,3%,Not Available,Not Available,Not Available,3%,Not Available,Not Available,84%,3%,Not Available,3%,3%,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2021-04-23,2021-04-27,Not Available,1003,Provided,66.5%,0.1%,2.7%,5.6%,Not Available,Not Available,1.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.9%,2.7%,Not Available,Not Available,1.7%,12.2%,Not Available,Not Available,Not Available,Not Available
Gallup,,2021-03-26,2021-03-29,Not Available,801,Provided,55.4%,0.1%,4.3%,7.9%,Not Available,Not Available,3.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,57.2%,4.9%,Not Available,0.7%,0.9%,10.6%,Not Available,Not Available,Not Available,Not Available
