Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,YeR,KPRF,LDPR,SRZP,NL,Yabloko,KPKR,Other
Левада-Центр,,2023-11-23,2023-11-29,National,1625,Provided,Not Available,1%,42%,9%,8%,4%,3%,Not Available,Not Available,Not Available
Левада-Центр,,2023-09-21,2023-09-27,National,1600,Provided,Not Available,1%,37%,11%,10%,4%,3%,Not Available,Not Available,Not Available
Russian Field,,2023-09-02,2023-09-10,National,1596,Provided,79.2%,0.1%,41.0%,14.0%,17.0%,9.3%,10.5%,6.0%,Not Available,2.3%
Левада-Центр,,2023-08-24,2023-08-30,National,1600,Provided,Not Available,1%,33%,9%,10%,4%,3%,Not Available,Not Available,Not Available
ЦИПКР,,2023-08-01,2023-08-09,National,1000,Provided,90%,1%,48%,13%,12%,6%,4%,5%,2%,11%
Левада-Центр,,2023-06-22,2023-06-28,National,1634,Provided,Not Available,1%,39%,8%,9%,4%,3%,Not Available,Not Available,Not Available
Russian Field,,2023-05-13,2023-05-16,National,1600,Provided,75.3%,0.1%,40.6%,16.7%,14.7%,9.2%,7.3%,6.6%,Not Available,5.0%
Левада-Центр,,2023-04-20,2023-04-26,National,1633,Provided,Not Available,1%,39%,10%,9%,5%,3%,Not Available,Not Available,Not Available
Левада-Центр,,2023-03-23,2023-03-29,National,1633,Provided,Not Available,1%,39%,10%,7%,4%,3%,Not Available,Not Available,Not Available
Левада-Центр,,2023-01-26,2023-01-31,National,1616,Provided,Not Available,1%,37%,9%,8%,5%,4%,Not Available,Not Available,Not Available
Левада-Центр,,2022-11-24,2022-11-30,National,1601,Provided,Not Available,1%,49%,15%,11%,5%,5%,Not Available,Not Available,Not Available
Левада-Центр,,2022-09-22,2022-09-27,National,1631,Provided,Not Available,1%,49%,15%,12%,6%,3%,Not Available,Not Available,Not Available
Левада-Центр,,2022-07-21,2022-07-27,National,1617,Provided,Not Available,1%,54%,14%,11%,4%,7%,Not Available,Not Available,Not Available
Левада-Центр,,2022-06-23,2022-06-29,National,1628,Provided,Not Available,1%,53%,16%,12%,5%,5%,Not Available,Not Available,Not Available
Левада-Центр,,2022-05-26,2022-05-31,National,1634,Provided,Not Available,1%,53%,16%,10%,5%,5%,Not Available,Not Available,Not Available
Russian Field,,2022-05-23,2022-05-26,National,Not Available,Not Available,71.5%,0.1%,51.4%,14.7%,10.1%,7.7%,5.8%,4.9%,Not Available,5.4%
Левада-Центр,,2022-04-21,2022-04-27,National,1616,Provided,Not Available,1%,54%,14%,11%,5%,7%,Not Available,Not Available,Not Available
Левада-Центр,,2022-03-24,2022-03-30,National,1632,Provided,Not Available,1%,54%,15%,13%,6%,5%,0%,1%,3%
Левада-Центр,,2022-02-17,2022-02-21,National,1618,Provided,Not Available,1%,42%,18%,11%,7%,5%,1%,0%,2%
Левада-Центр,,2021-12-16,2021-12-22,National,1640,Provided,Not Available,1%,40%,22%,12%,8%,7%,1%,1%,5%
Левада-Центр,,2021-11-25,2021-12-01,National,1603,Provided,Not Available,1%,41%,21%,13%,6%,7%,1%,1%,5%
Левада-Центр,,2021-10-21,2021-10-27,National,1636,Provided,Not Available,1%,38%,18%,10%,7%,7%,1%,1%,8%
ЦИПКР,Pravda,2021-09-06,2021-09-09,National,1500,Provided,Not Available,1%,29%,25%,9%,6%,8%,5%,1%,20%
INSOMAR,,2021-09-08,2021-09-08,National,1200,Provided,Not Available,1%,36%,18%,12%,8%,5%,4%,1%,10%
NMCPSM,Znak,2021-08-30,2021-09-05,National,85000,Provided,Not Available,0.1%,34.0%,19.0%,12.1%,12.2%,Not Available,Not Available,Not Available,21.5%
ЦИПКР,Pravda,2021-08-09,2021-08-13,National,Not Available,Not Available,Not Available,1%,25%,18%,11%,8%,4%,3%,1%,9%
NMCPSM,Znak,2021-07-26,2021-07-30,National,85000,Provided,Not Available,0.1%,35.6%,16.2%,13.6%,9.4%,Not Available,Not Available,Not Available,25.2%
ЦИПКР,Pravda,2021-06-27,2021-06-29,National,1500,Provided,Not Available,1%,25%,16%,14%,9%,1%,5%,1%,7%
ЦИПКР,Pravda,2021-04-01,2021-04-30,National,Not Available,Not Available,Not Available,1%,42%,14%,12%,10%,2%,3%,1%,3%
INSOMAR,,2021-03-22,2021-03-22,National,1600,Provided,Not Available,1%,44%,21%,12%,11%,1%,5%,0%,6%
Левада-Центр,,2021-02-18,2021-02-24,National,1601,Provided,Not Available,0.1%,37.5%,13.9%,16.7%,7.0%,3.7%,1.0%,2.8%,3.3%
Левада-Центр,,2020-11-20,2020-11-20,National,1600,Provided,Not Available,1%,46%,12%,18%,7%,3%,2%,1%,5%
Левада-Центр,,2020-08-20,2020-08-26,National,1601,Provided,Not Available,1%,49%,10%,18%,5%,3%,2%,3%,7%
Левада-Центр,,2020-02-20,2020-02-26,National,1600,Provided,Not Available,1%,39%,11%,14%,4%,4%,1%,4%,6%
Левада-Центр,,2019-12-12,2019-12-18,National,1600,Provided,Not Available,1%,41%,13%,11%,4%,4%,1%,4%,5%
Левада-Центр,,2019-06-18,2019-06-24,National,1605,Provided,Not Available,1%,39%,16%,14%,3%,3%,1%,4%,4%
ЦИПКР,,2018-12-20,2018-12-20,National,1500,Provided,Not Available,1%,38%,21%,12%,7%,4%,1%,3%,12%
Левада-Центр,,2017-12-01,2018-12-05,National,1600,Provided,Not Available,1%,51%,12%,14%,4%,3%,1%,0%,4%
