Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,DPS,ЗБЦГ,DF+Prava,DF,Prava,Dsi,SNP,UCG,URA,MjNN,DEMOS,DCG,SDP,SD,BS,LSh,FORCA,ASh,CnB,UDSH,LP,PD,DNP,NSD,PzP,DP,PES!,Civis,DPS+LP,DNP+NSD+PzP,PD+UDSH,DCG+DEMOS,DPS+LP+SD+SDP+UDSH,DEMOS+DNP+DP+NSD+Prava+PzP+SNP+UCG,CnB+DCG,ASh+FORCA,DPS+LP+SD+UDSH,DNP+NSD,DCG+URA,DEMOS+SNP,DP+Prava,Other
CeDem,,2023-05-01,2023-05-31,National,Not Available,Not Available,Not Available,0.1%,24.1%,Not Available,Not Available,Not Available,Not Available,Not Available,2.1%,Not Available,4.4%,Not Available,Not Available,11.1%,2.2%,1.9%,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.1%,Not Available,Not Available,13.2%,Not Available,Not Available,Not Available,Not Available,Not Available,1.9%,Not Available,Not Available,Not Available,Not Available,Not Available,5.2%
NSPM,,2023-05-19,2023-05-28,National,1000,Provided,Not Available,0.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22.1%,15.3%,12.9%,2.4%,2.2%,8.3%
Redfield & Wilton Strategies,,2023-04-10,2023-04-14,National,1108,Provided,Not Available,1%,20%,Not Available,Not Available,Not Available,Not Available,Not Available,1%,Not Available,6%,Not Available,Not Available,6%,1%,1%,1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44%,Not Available,Not Available,17%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3%
CeDem,,2023-01-17,2023-02-17,National,3700,Provided,Not Available,0.1%,28.9%,Not Available,Not Available,Not Available,0.6%,Not Available,1.4%,0.6%,4.5%,Not Available,0.4%,13.3%,3.9%,2.9%,4.0%,Not Available,Not Available,2.4%,Not Available,0.4%,0.1%,Not Available,Not Available,Not Available,Not Available,0.9%,17.4%,Not Available,Not Available,17.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.0%
CeDem,,2023-01-17,2023-02-17,National,3700,Provided,Not Available,0.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.6%,3.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.2%,Not Available,Not Available,Not Available,Not Available,Not Available,34.4%,21.8%,17.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CeDem,,2022-12-02,2022-12-17,National,Not Available,Not Available,Not Available,0.1%,27.7%,Not Available,Not Available,Not Available,1.1%,Not Available,3.2%,0.9%,4.9%,Not Available,0.4%,13.1%,3.3%,2.9%,4.1%,Not Available,0.8%,1.3%,Not Available,1.7%,0.4%,Not Available,Not Available,Not Available,Not Available,2.2%,15.2%,0.4%,Not Available,14.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.8%
Datapraxis and Ipsos,,2022-09-20,2022-09-26,National,1236,Provided,Not Available,0.1%,31.8%,Not Available,Not Available,Not Available,0.9%,Not Available,2.3%,2.1%,Not Available,Not Available,1.6%,9.4%,6.2%,2.0%,3.2%,Not Available,Not Available,0.7%,10.2%,Not Available,1.3%,Not Available,Not Available,Not Available,Not Available,Not Available,13.6%,Not Available,Not Available,12.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.4%
CeDem,,2022-06-11,2022-06-27,National,1026,Provided,71.5%,0.1%,28.2%,Not Available,Not Available,Not Available,1.6%,Not Available,3.8%,1.0%,4.8%,Not Available,Not Available,14.9%,3.4%,2.6%,3.3%,Not Available,Not Available,2.3%,Not Available,1.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,14.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.1%
RMA,,2022-05-14,2022-05-22,National,1570,Provided,Not Available,0.1%,23.5%,Not Available,Not Available,Not Available,2.3%,Not Available,8.5%,2.0%,9.2%,Not Available,1.5%,12.4%,5.8%,2.8%,6.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7%,Not Available,Not Available,17.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.0%
NSPM,,2022-01-25,2022-01-31,National,Not Available,Not Available,Not Available,0.1%,Not Available,Not Available,Not Available,Not Available,2.5%,Not Available,2.8%,Not Available,7.8%,Not Available,1.2%,17.1%,5.6%,2.2%,3.7%,Not Available,Not Available,2.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11.0%,Not Available,Not Available,26.4%,15.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.6%
CeDem,,2021-10-01,2021-10-11,National,1022,Provided,71.0%,0.1%,30.5%,Not Available,Not Available,Not Available,1.8%,Not Available,2.9%,2.0%,6.2%,Not Available,Not Available,Not Available,4.3%,2.4%,6.1%,Not Available,Not Available,2.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20.4%,Not Available,19.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.7%
Cuvamo Nase,Borba,2021-09-30,2021-10-08,National,1100,Provided,Not Available,0.1%,28.7%,Not Available,Not Available,Not Available,2.1%,Not Available,4.1%,Not Available,3.1%,Not Available,2.8%,16.2%,1.9%,3.8%,5.1%,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CeDem,,2021-06-18,2021-06-26,National,1015,Provided,69.4%,0.1%,29.6%,Not Available,Not Available,Not Available,1.8%,Not Available,3.3%,1.2%,6.1%,Not Available,1.5%,17.5%,2.9%,3.2%,4.2%,Not Available,1.0%,1.7%,Not Available,1.1%,Not Available,Not Available,Not Available,Not Available,Not Available,4.7%,Not Available,Not Available,Not Available,17.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.2%
Damar,,2021-10-01,2021-01-15,National,Not Available,Not Available,Not Available,0.1%,Not Available,28.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.8%,Not Available,Not Available,2.5%,3.4%,3.5%,1.6%,Not Available,Not Available,11.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.5%,Not Available,0.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.1%
NSPM,,2020-10-10,2020-10-18,National,900,Provided,Not Available,0.1%,Not Available,Not Available,Not Available,Not Available,4.4%,Not Available,3.1%,0.3%,Not Available,Not Available,0.8%,13.8%,2.3%,2.6%,3.4%,2.1%,Not Available,Not Available,11.3%,Not Available,Not Available,Not Available,4.7%,3.6%,1%,24.5%,Not Available,Not Available,20.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.6%
CeDem,,2020-09-11,2020-09-19,National,1035,Provided,Not Available,0.1%,Not Available,34.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.8%,Not Available,Not Available,2.0%,4.7%,3.7%,1.9%,Not Available,Not Available,8.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28.7%,Not Available,0.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.1%
CeDem,,2020-09-11,2020-09-19,National,1035,Provided,Not Available,0.1%,Not Available,Not Available,Not Available,Not Available,1.8%,Not Available,6.5%,0.3%,Not Available,Not Available,2.1%,14.2%,2.3%,5.0%,3.7%,Not Available,0.2%,1.7%,9.0%,0.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.9%,20.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.3%
CeDem,,2020-08-05,2020-08-12,National,1037,Provided,66.0%,0.1%,35.3%,24.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.6%,16.5%,Not Available,Not Available,4.2%,5.3%,4.8%,1.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.7%
ICA,,2020-08-05,2020-08-11,National,1004,Provided,Not Available,0.1%,35.1%,25.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.5%,15.5%,Not Available,Not Available,3.1%,2.6%,5.4%,4.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.5%
NSPM,,2020-07-21,2020-07-29,National,1064,Provided,Not Available,0.1%,35.9%,Not Available,Not Available,17.2%,3.8%,Not Available,4.5%,Not Available,6.1%,Not Available,3.5%,17.5%,3.4%,1.8%,3.2%,1.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.8%
