Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GD,UNM,EG,SLP,APG,DMUG,Citizens,Girchi,Lelo,DM,SB,For Georgia,FTP,Droa!,Girchi-MF,CM/AI,PP,VP,Droa!+Girchi-MF,Other
Edison Research,Formula TV,2023-12-01,2023-12-22,National,1500,Provided,Not Available,0.1%,36.6%,Not Available,0.7%,4.7%,1.7%,Not Available,1.7%,2.9%,6.7%,Not Available,Not Available,8.8%,3.7%,Not Available,Not Available,3%,2.5%,21.5%,5%,0.5%
Edison Research,Formula TV,2023-10-20,2023-11-06,National,1000,Provided,Not Available,1%,37%,Not Available,1%,4%,2%,Not Available,2%,4%,5%,Not Available,Not Available,9%,4%,Not Available,Not Available,3%,3%,21%,4%,1%
CRRC Georgia,NDI,2023-10-12,2023-11-04,National,2068,Provided,34%,1%,53%,11%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36%
GORBI,Imedi TV,2023-09-30,2023-10-20,National,2024,Provided,Not Available,1%,55%,Not Available,3%,2%,2%,Not Available,1%,1%,4%,Not Available,Not Available,3%,Not Available,Not Available,Not Available,Not Available,Not Available,20%,4%,5%
Institute of Polling & Marketing,IRI,2023-09-14,2023-10-14,National,1200,Provided,60.0%,1%,42%,22%,1%,Not Available,2%,Not Available,3%,5%,3%,Not Available,5%,7%,3%,Not Available,Not Available,2%,2%,Not Available,3%,2%
Edison Research,Formula TV,2023-09-07,2023-09-24,National,1500,Provided,Not Available,1%,37%,Not Available,1%,4%,1%,Not Available,2%,4%,4%,Not Available,Not Available,10%,4%,Not Available,Not Available,3%,3%,22%,4%,0%
Edison Research,Formula TV,2023-05-25,2023-06-14,National,1500,Provided,Not Available,1%,37%,25%,1%,5%,1%,Not Available,2%,3%,4%,Not Available,3%,6%,3%,2%,4%,2%,2%,Not Available,Not Available,Not Available
GORBI,Imedi TV,2023-04-22,2023-05-07,National,1212,Provided,Not Available,1%,53%,19%,2%,3%,2%,Not Available,2%,1%,4%,Not Available,2%,2%,Not Available,Not Available,3%,Not Available,Not Available,Not Available,Not Available,7%
CRRC Georgia,NDI,2023-03-17,2023-03-23,National,1032,Provided,31%,1%,65%,16%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19%
Institute of Polling & Marketing,IRI,2023-03-04,2023-03-23,National,1500,Provided,57.0%,1%,33%,25%,2%,4%,0%,Not Available,4%,4%,4%,Not Available,4%,5%,4%,2%,5%,2%,0%,Not Available,Not Available,0%
CRRC Georgia,NDI,2022-12-03,2022-12-20,National,2519,Provided,44%,1%,57%,14%,Not Available,5%,2%,Not Available,2%,2%,2%,Not Available,2%,5%,2%,2%,5%,2%,Not Available,Not Available,Not Available,Not Available
GORBI,Imedi TV,2022-11-17,2022-11-29,National,2024,Provided,Not Available,1%,52%,23%,3%,1%,3%,Not Available,2%,2%,3%,Not Available,3%,1%,Not Available,Not Available,3%,Not Available,Not Available,Not Available,Not Available,4%
Institute of Polling & Marketing,IRI,2022-09-13,2022-10-02,National,1500,Provided,71.0%,1%,35%,17%,Not Available,3%,3%,Not Available,1%,3%,1%,Not Available,3%,4%,3%,3%,4%,1%,Not Available,Not Available,Not Available,3%
CRRC Georgia,NDI,2022-07-14,2022-08-25,National,2104,Provided,54.0%,1%,52%,20%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6%,6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17%
Institute of Polling & Marketing,IRI,2022-03-04,2022-03-24,National,1486,Provided,70.0%,1%,44%,23%,Not Available,3%,1%,Not Available,1%,Not Available,3%,Not Available,3%,6%,3%,3%,1%,1%,Not Available,Not Available,Not Available,3%
CRRC Georgia,,2022-03-07,2022-03-10,National,1092,Provided,41.0%,1%,54%,24%,Not Available,Not Available,5%,Not Available,Not Available,Not Available,7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10%
Institute of Polling & Marketing,IRI,2021-02-02,2021-02-26,National,1500,Provided,70.0%,1%,50%,26%,4%,3%,3%,Not Available,3%,3%,1%,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ipsos,Mtavari Arkhi,2020-10-17,2020-10-27,National,2000,Provided,Not Available,1%,40%,33%,7%,2%,2%,Not Available,1%,2%,4%,1%,7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Survation,,2020-10-26,2020-10-26,National,Not Available,Not Available,Not Available,1%,52%,21%,4%,2%,3%,Not Available,Not Available,2%,4%,Not Available,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8%
Public Opinion Strategoes,Imedia TV,2020-10-09,2020-10-20,National,1518,Provided,Not Available,0.1%,56%,19.9%,4.3%,2.2%,4.6%,1.6%,Not Available,3.0%,3.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.5%
Ipsos,,2020-10-08,2020-10-15,National,1500,Provided,Not Available,0.1%,40.3%,31.2%,6.8%,2.6%,1.5%,1.2%,1.0%,3.4%,4.5%,Not Available,6.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Edison Research,Formula TV,2020-09-17,2020-10-07,National,4500,Provided,Not Available,1%,47%,22%,7%,4%,4%,Not Available,1%,3%,3%,1%,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1%
Ipsos,Mtavari Arkhi,2020-09-23,2020-10-01,National,1500,Provided,Not Available,0.1%,36.6%,26%,10.3%,2.8%,2.5%,Not Available,1.5%,2.5%,5.4%,1.5%,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Edison Research,Formula TV,2020-08-25,2020-09-07,National,2850,Provided,Not Available,1%,49%,19%,8%,4%,4%,Not Available,1%,4%,4%,1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3%
Survation,Rustavi 2,2020-07-15,2020-07-24,National,1200,Provided,Not Available,1%,52%,19%,8%,Not Available,5%,Not Available,Not Available,Not Available,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4%
Gallup,IRI,2020-06-04,2020-07-02,National,1500,Provided,Not Available,1%,37%,18%,6%,Not Available,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6%
GORBI,Imedi TV,2020-05-15,2020-05-19,National,1090,Provided,Not Available,1%,63%,14%,1%,5%,7%,Not Available,Not Available,Not Available,3%,1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
